Provincia;Distrito;Semana;Sin signos de alarma;Con signos de alarma;Grave;Sin signos de alarma;Con signos de alarma;Grave;Sin signos de alarma;Con signos de alarma;Grave
CHICLAYO;PUCALA;4;1;0;0;1;0;0;2;0;0
CHICLAYO;PUCALA;5;0;0;0;2;0;0;2;0;0
CHICLAYO;PUCALA;6;0;0;0;0;0;0;0;0;0
CHICLAYO;REQUE;1;0;0;0;1;0;0;1;0;0
CHICLAYO;REQUE;2;0;0;0;0;0;0;0;0;0
CHICLAYO;REQUE;3;0;0;0;0;0;0;0;0;0
CHICLAYO;REQUE;4;0;0;0;0;0;0;0;0;0
CHICLAYO;REQUE;5;0;0;0;0;0;0;0;0;0
CHICLAYO;REQUE;6;0;0;0;0;0;0;0;0;0
CHICLAYO;SAÑA;1;0;0;0;0;0;0;0;0;0
CHICLAYO;SAÑA;2;0;0;0;0;0;0;0;0;0
CHICLAYO;SAÑA;3;0;0;0;3;0;0;3;0;0
CHICLAYO;SAÑA;4;0;0;0;0;0;0;0;0;0
CHICLAYO;SAÑA;5;0;0;0;0;0;0;0;0;0
CHICLAYO;SAÑA;6;0;0;0;0;0;0;0;0;0
CHICLAYO;TUMAN;1;0;0;0;0;0;0;0;0;0
CHICLAYO;TUMAN;2;4;2;0;0;0;0;4;2;0
CHICLAYO;TUMAN;3;0;0;0;0;0;0;0;0;0
CHICLAYO;TUMAN;4;1;0;0;2;0;0;3;0;0
CHICLAYO;TUMAN;5;0;0;0;1;1;0;1;1;0
CHICLAYO;TUMAN;6;0;0;0;0;0;0;0;0;0
FERREÑAFE;FERREÑAFE;1;1;0;0;0;1;0;1;1;0
FERREÑAFE;FERREÑAFE;2;7;0;0;0;0;0;7;0;0
FERREÑAFE;FERREÑAFE;3;1;0;0;0;0;0;1;0;0
FERREÑAFE;FERREÑAFE;4;2;0;0;0;0;0;2;0;0
FERREÑAFE;FERREÑAFE;5;1;0;0;2;0;0;3;0;0
FERREÑAFE;FERREÑAFE;6;0;0;0;1;0;0;1;0;0
FERREÑAFE;MANUEL ANTONIO MESONES MURO;1;0;0;0;0;0;0;0;0;0
FERREÑAFE;MANUEL ANTONIO MESONES MURO;2;2;0;0;0;0;0;2;0;0
FERREÑAFE;MANUEL ANTONIO MESONES MURO;3;1;0;0;0;0;0;1;0;0
FERREÑAFE;MANUEL ANTONIO MESONES MURO;4;0;0;0;0;0;0;0;0;0
FERREÑAFE;MANUEL ANTONIO MESONES MURO;5;0;0;0;1;0;0;1;0;0
FERREÑAFE;MANUEL ANTONIO MESONES MURO;6;0;0;0;2;0;0;2;0;0
FERREÑAFE;PITIPO;1;0;0;0;0;0;0;0;0;0
FERREÑAFE;PITIPO;2;0;0;0;0;0;0;0;0;0
FERREÑAFE;PITIPO;3;2;0;0;2;0;0;4;0;0
FERREÑAFE;PITIPO;4;0;0;0;4;1;0;4;1;0
FERREÑAFE;PITIPO;5;0;0;0;0;0;0;0;0;0
FERREÑAFE;PITIPO;6;0;0;0;1;0;0;1;0;0
FERREÑAFE;PUEBLO NUEVO;1;0;0;0;0;0;0;0;0;0
FERREÑAFE;PUEBLO NUEVO;2;0;0;0;0;0;0;0;0;0
FERREÑAFE;PUEBLO NUEVO;3;1;0;0;0;0;0;1;0;0
FERREÑAFE;PUEBLO NUEVO;4;0;0;0;0;0;0;0;0;0
FERREÑAFE;PUEBLO NUEVO;5;0;0;0;0;0;0;0;0;0
FERREÑAFE;PUEBLO NUEVO;6;0;0;0;0;0;0;0;0;0
LAMBAYEQUE;JAYANCA;1;1;0;0;0;0;0;1;0;0
LAMBAYEQUE;JAYANCA;2;2;0;0;0;0;0;2;0;0
LAMBAYEQUE;JAYANCA;3;0;0;0;0;0;0;0;0;0
LAMBAYEQUE;JAYANCA;4;3;0;0;0;0;0;3;0;0
LAMBAYEQUE;JAYANCA;5;2;0;0;0;0;0;2;0;0
LAMBAYEQUE;JAYANCA;6;0;0;0;0;0;0;0;0;0
LAMBAYEQUE;LAMBAYEQUE;1;2;0;0;0;0;0;2;0;0
LAMBAYEQUE;LAMBAYEQUE;2;0;0;0;2;0;0;2;0;0
LAMBAYEQUE;LAMBAYEQUE;3;1;0;0;0;0;0;1;0;0
LAMBAYEQUE;LAMBAYEQUE;4;0;0;0;1;1;0;1;1;0
LAMBAYEQUE;LAMBAYEQUE;5;3;0;0;2;0;0;5;0;0
LAMBAYEQUE;LAMBAYEQUE;6;1;0;0;1;0;0;2;0;0
LAMBAYEQUE;MORROPE;1;0;0;0;0;0;0;0;0;0
LAMBAYEQUE;MORROPE;2;0;0;0;2;0;0;2;0;0
