"DEPARTAMENTO","PROVINCIA","DISTRITO","COD_VAL","NOMBRE_ESTACION_VAL","METODOLOGÍA","FECHA","CONCENTRACIÓN (µg/m³)","AÑO"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","20/11/2013","71.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","31/1/2013","127.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","6/2/2013","92.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","13/2/2013","94.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","19/2/2013","106.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","25/2/2013","87.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","7/3/2013","125.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","13/3/2013","109.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","20/3/2013","118.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","25/3/2013","113.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","4/4/2013","104.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","10/4/2013","99.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","17/4/2013","102.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","22/4/2013","111.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","2/5/2013","94.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","8/5/2013","97.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","15/5/2013","99.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","21/5/2013","92.00","2013"
